Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,395,299,0,1143,"213,37","24,051%","1,86644","2,59","0,16","1422,8"
TOTAL,395,299,0,1143,"213,37","24,051%","1,86644","2,59","0,16","1422,8"
