Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,795,365,0,2258,"206,36","11,950%","1,94703","2,80","0,19","1470,7"
TOTAL,795,365,0,2258,"206,36","11,950%","1,94703","2,80","0,19","1470,7"
