Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,545,331,0,1143,"204,13","17,431%","1,78762","2,53","0,16","1449,0"
TOTAL,545,331,0,1143,"204,13","17,431%","1,78762","2,53","0,16","1449,0"
