Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1795,376,0,2258,"165,04","5,292%","2,90157","4,24","0,30","1497,0"
TOTAL,1795,376,0,2258,"165,04","5,292%","2,90157","4,24","0,30","1497,0"
